"vid_id","ad_view"
"VID_1054",8
"VID_18629",13
"VID_13967",2
"VID_19442",7
"VID_770",8
"VID_10315",3
"VID_7417",2
"VID_17788",3
"VID_14591",6
"VID_1228",6
"VID_10153",10
"VID_5667",6
"VID_22775",6
"VID_8353",5
"VID_486",3
"VID_17460",4
"VID_5867",3
"VID_15951",4
"VID_14890",3
"VID_7219",6
"VID_20045",2
"VID_11874",6
"VID_1208",10
"VID_4529",3
"VID_6793",2
"VID_18254",3
"VID_11155",5
"VID_12257",6
"VID_4207",5
"VID_23276",3
"VID_18261",4
"VID_11536",2
"VID_6429",11
"VID_9277",5
"VID_517",2
"VID_11291",5
"VID_11265",3
"VID_632",6
"VID_13587",6
"VID_16439",4
"VID_14888",14
"VID_3207",10
"VID_9352",1
"VID_3286",8
"VID_19592",5
"VID_15582",5
"VID_15269",7
"VID_5703",8
"VID_22315",7
"VID_14939",6
"VID_18277",5
"VID_1684",4
"VID_14842",3
"VID_635",5
"VID_19621",2
"VID_2006",5
"VID_2427",8
"VID_3232",6
"VID_17944",4
"VID_19507",2
"VID_6745",4
"VID_8446",2
"VID_17593",5
"VID_21611",3
"VID_16242",3
"VID_23409",2
"VID_22950",2
"VID_15401",3
"VID_7634",11
"VID_4283",6
"VID_20020",4
"VID_13334",4
"VID_17504",2
"VID_22854",6
"VID_4396",6
"VID_7426",2
"VID_1941",6
"VID_22447",4
"VID_13156",5
"VID_6361",4
"VID_1601",11
"VID_5787",3
"VID_15044",4
"VID_18511",7
"VID_17965",5
"VID_20023",3
"VID_20294",4
"VID_4284",6
"VID_6333",10
"VID_4459",4
"VID_7896",3
"VID_14003",3
"VID_22518",4
"VID_12272",7
"VID_1002",4
"VID_2801",5
"VID_85",3
"VID_17535",6
"VID_16710",12
"VID_7899",5
"VID_3336",10
"VID_966",10
"VID_15920",2
"VID_9048",14
"VID_10819",2
"VID_9004",5
"VID_8038",2
"VID_22273",8
"VID_9597",5
"VID_405",3
"VID_6857",5
"VID_745",12
"VID_22181",2
"VID_2452",6
"VID_16534",15
"VID_8504",2
"VID_6211",6
"VID_7421",2
"VID_19004",2
"VID_21560",3
"VID_6904",2
"VID_10068",9
"VID_3831",15
"VID_523",2
"VID_21181",6
"VID_9556",4
"VID_1140",9
"VID_18078",6
"VID_13326",4
"VID_21883",4
"VID_18044",4
"VID_11715",2
"VID_7741",6
"VID_23167",2
"VID_4147",7
"VID_12377",6
"VID_16014",4
"VID_21928",7
"VID_22002",7
"VID_19194",8
"VID_17892",3
"VID_19234",2
"VID_1790",5
"VID_7878",3
"VID_6945",2
"VID_17600",6
"VID_7502",3
"VID_11761",7
"VID_578",7
"VID_2068",3
"VID_10591",3
"VID_1300",7
"VID_2950",8
"VID_12930",4
"VID_22247",2
"VID_4330",9
"VID_14398",11
"VID_8506",11
"VID_12462",2
"VID_21697",3
"VID_14574",7
"VID_14171",10
"VID_22620",3
"VID_5642",4
"VID_12689",3
"VID_3676",5
"VID_23515",2
"VID_11336",4
"VID_8360",9
"VID_14293",9
"VID_7088",7
"VID_11588",3
"VID_12193",2
"VID_18944",2
"VID_14220",4
"VID_2589",3
"VID_17644",6
"VID_20263",2
"VID_15204",6
"VID_6855",6
"VID_19306",4
"VID_20132",3
"VID_18477",5
"VID_4562",2
"VID_17001",3
"VID_6858",2
"VID_20250",4
"VID_22484",2
"VID_2358",5
"VID_17132",3
"VID_19635",7
"VID_20188",2
"VID_1272",8
"VID_2390",4
"VID_10914",2
"VID_9647",3
"VID_11219",2
"VID_13260",2
"VID_21600",2
"VID_12441",17
"VID_15261",7
"VID_11540",5
"VID_20101",10
"VID_3909",10
"VID_14409",7
"VID_10430",3
"VID_8148",8
"VID_9579",5
"VID_12302",8
"VID_7161",3
"VID_17471",4
"VID_13296",6
"VID_1935",9
"VID_23277",2
"VID_20389",2
"VID_2988",4
"VID_5453",2
"VID_6553",5
"VID_18356",7
"VID_15268",3
"VID_21503",6
"VID_6901",3
"VID_5796",4
"VID_21475",14
"VID_19600",4
"VID_7977",3
"VID_4704",2
"VID_20858",5
"VID_23644",4
"VID_12962",4
"VID_4894",2
"VID_4803",6
"VID_8408",5
"VID_12226",7
"VID_1299",3
"VID_7721",4
"VID_1919",5
"VID_23316",5
"VID_17849",3
"VID_1313",13
"VID_9117",4
"VID_9152",1
"VID_15543",6
"VID_11505",4
"VID_647",6
"VID_2236",3
"VID_14118",7
"VID_1225",7
"VID_11257",2
"VID_13130",6
"VID_12580",5
"VID_860",4
"VID_14251",4
"VID_6476",10
"VID_13070",6
"VID_4623",6
"VID_13599",4
"VID_11705",2
"VID_11736",2
"VID_14145",4
"VID_13264",7
"VID_10476",2
"VID_22755",3
"VID_13294",9
"VID_964",6
"VID_23498",2
"VID_12090",2
"VID_7494",3
"VID_141",3
"VID_242",2
"VID_8088",12
"VID_10154",14
"VID_3878",6
"VID_4799",5
"VID_12287",4
"VID_15607",5
"VID_9974",5
"VID_20032",3
"VID_9920",5
"VID_7959",2
"VID_21506",3
"VID_15898",2
"VID_4349",10
"VID_16235",10
"VID_6391",13
"VID_4940",2
"VID_16185",7
"VID_6988",2
"VID_877",3
"VID_23610",4
"VID_17702",6
"VID_18664",9
"VID_9915",2
"VID_4438",5
"VID_15812",1
"VID_15966",3
"VID_2832",3
"VID_20533",4
"VID_12692",2
"VID_11340",5
"VID_10760",6
"VID_19631",6
"VID_7012",4
"VID_7799",3
"VID_3963",2
"VID_501",2
"VID_9202",2
"VID_14268",3
"VID_21714",4
"VID_23154",4
"VID_4429",6
"VID_16062",2
